FullDate,DateKey,Day,Month,MonthName,Quarter,Year
2023-01-31,20230131,31,1,January,1,2023
2023-02-28,20230228,28,2,February,1,2023
2023-03-31,20230331,31,3,March,1,2023
2023-04-30,20230430,30,4,April,2,2023
2023-05-31,20230531,31,5,May,2,2023
2023-06-30,20230630,30,6,June,2,2023
2023-07-31,20230731,31,7,July,3,2023
2023-08-31,20230831,31,8,August,3,2023
2023-09-30,20230930,30,9,September,3,2023
2023-10-31,20231031,31,10,October,4,2023
2023-11-30,20231130,30,11,November,4,2023
2023-12-31,20231231,31,12,December,4,2023
